City,State,Year,Population,Date
Tucson,AZ,2003,510276,7/7/2003
Tucson,AZ,2002,504134,7/7/2002
Tucson,AZ,2001,496358,7/7/2001
Tucson,AZ,2000,489355,7/7/2000
Tucson Estates,AZ,2021,12045,7/7/2021
Tucson Estates,AZ,2020,12069,7/7/2020
Tumacacori-Carmen,AZ,2021,317,7/7/2021
Tumacacori-Carmen,AZ,2020,329,7/7/2020
Turkey Creek,AZ,2021,393,7/7/2021
Turkey Creek,AZ,2020,377,7/7/2020
Tusayan,AZ,2019,580,7/7/2019
Tusayan,AZ,2018,586,7/7/2018
Tusayan,AZ,2017,584,7/7/2017
Tusayan,AZ,2016,589,7/7/2016
Tusayan,AZ,2015,586,7/7/2015
Tusayan,AZ,2014,583,7/7/2014
Tusayan,AZ,2013,579,7/7/2013
Tusayan,AZ,2012,564,7/7/2012
Tusayan,AZ,2011,566,7/7/2011
Tusayan,AZ,2010,570,7/7/2010
Upper Santan Village,AZ,2021,699,7/7/2021
Upper Santan Village,AZ,2020,665,7/7/2020
Utting,AZ,2021,86,7/7/2021
Utting,AZ,2020,92,7/7/2020
Vail,AZ,2021,14284,7/7/2021
Vail,AZ,2020,13604,7/7/2020
Vaiva Vo,AZ,2021,85,7/7/2021
Vaiva Vo,AZ,2020,93,7/7/2020
Valencia West,AZ,2021,15051,7/7/2021
Valencia West,AZ,2020,14101,7/7/2020
Valentine,AZ,2021,39,7/7/2021
Valentine,AZ,2020,39,7/7/2020
Valle,AZ,2021,745,7/7/2021
Valle,AZ,2020,759,7/7/2020
Valle Vista,AZ,2021,1830,7/7/2021
Valle Vista,AZ,2020,1802,7/7/2020
Ventana,AZ,2021,52,7/7/2021
Ventana,AZ,2020,52,7/7/2020
Verde Village,AZ,2021,12101,7/7/2021
Verde Village,AZ,2020,12019,7/7/2020
Vernon,AZ,2021,126,7/7/2021
Vernon,AZ,2020,126,7/7/2020
Vicksburg,AZ,2021,382,7/7/2021
Vicksburg,AZ,2020,418,7/7/2020
Village of Oak Creek Big Park,AZ,2021,6124,7/7/2021
Village of Oak Creek Big Park,AZ,2020,6128,7/7/2020
Wagon Wheel,AZ,2021,1896,7/7/2021
Wagon Wheel,AZ,2020,1856,7/7/2020
Wahak Hotrontk,AZ,2021,82,7/7/2021
Wahak Hotrontk,AZ,2020,88,7/7/2020
Wall Lane,AZ,2021,232,7/7/2021
Wall Lane,AZ,2020,262,7/7/2020
Walnut Creek,AZ,2021,573,7/7/2021
Walnut Creek,AZ,2020,571,7/7/2020
Washington Park,AZ,2021,89,7/7/2021
Washington Park,AZ,2020,85,7/7/2020
Wellton,AZ,2021,2273,7/7/2021
Wellton,AZ,2020,2375,7/7/2020
Wellton,AZ,2019,3044,7/7/2019
Wellton,AZ,2018,3031,7/7/2018
Wellton,AZ,2017,3023,7/7/2017
Wellton,AZ,2016,2980,7/7/2016
Wellton,AZ,2015,2951,7/7/2015
Wellton,AZ,2014,2962,7/7/2014
Wellton,AZ,2013,2956,7/7/2013
Wellton,AZ,2012,2949,7/7/2012
Wellton,AZ,2011,2940,7/7/2011
Wellton,AZ,2010,2890,7/7/2010
Wellton,AZ,2009,1951,7/7/2009
Wellton,AZ,2008,1921,7/7/2008
Wellton,AZ,2007,1908,7/7/2007
Wellton,AZ,2006,1908,7/7/2006
Wellton,AZ,2005,1900,7/7/2005
Wellton,AZ,2004,1896,7/7/2004
Wellton,AZ,2003,1879,7/7/2003
Wellton,AZ,2002,1876,7/7/2002
Wellton,AZ,2001,1869,7/7/2001
Wellton,AZ,2000,1870,7/7/2000
Wellton Hills,AZ,2021,149,7/7/2021
Wellton Hills,AZ,2020,167,7/7/2020
Wenden,AZ,2021,404,7/7/2021
Wenden,AZ,2020,458,7/7/2020
Wet Camp Village,AZ,2021,314,7/7/2021
Wet Camp Village,AZ,2020,300,7/7/2020
Wheatfields,AZ,2021,510,7/7/2021
Wheatfields,AZ,2020,556,7/7/2020
Whispering Pines,AZ,2021,120,7/7/2021
Whispering Pines,AZ,2020,124,7/7/2020
White Hills,AZ,2021,349,7/7/2021
White Hills,AZ,2020,345,7/7/2020
White Mountain Lake,AZ,2021,2361,7/7/2021
White Mountain Lake,AZ,2020,2335,7/7/2020
Whitecone,AZ,2021,758,7/7/2021
Whitecone,AZ,2020,768,7/7/2020
Whiteriver,AZ,2021,4604,7/7/2021
Whiteriver,AZ,2020,4520,7/7/2020
Wickenburg,AZ,2021,7696,7/7/2021
Wickenburg,AZ,2020,7474,7/7/2020
Wickenburg,AZ,2019,8092,7/7/2019
Wickenburg,AZ,2018,7808,7/7/2018
Wickenburg,AZ,2017,7440,7/7/2017
Wickenburg,AZ,2016,7204,7/7/2016
Wickenburg,AZ,2015,7003,7/7/2015
Wickenburg,AZ,2014,6906,7/7/2014
Wickenburg,AZ,2013,6826,7/7/2013
Wickenburg,AZ,2012,6740,7/7/2012
Wickenburg,AZ,2011,6620,7/7/2011
Wickenburg,AZ,2010,6529,7/7/2010
Wickenburg,AZ,2009,6654,7/7/2009
Wickenburg,AZ,2008,6636,7/7/2008
Wickenburg,AZ,2007,6553,7/7/2007
Wickenburg,AZ,2006,6447,7/7/2006
Wickenburg,AZ,2005,6302,7/7/2005
Wickenburg,AZ,2004,6137,7/7/2004
Wickenburg,AZ,2003,5994,7/7/2003
Wickenburg,AZ,2002,5982,7/7/2002
Wickenburg,AZ,2001,5939,7/7/2001
Wickenburg,AZ,2000,5895,7/7/2000
Wide Ruins,AZ,2021,-12,7/7/2021
Wide Ruins,AZ,2020,20,7/7/2020
Wikieup,AZ,2021,135,7/7/2021
Wikieup,AZ,2020,135,7/7/2020
Wilhoit,AZ,2021,864,7/7/2021
Wilhoit,AZ,2020,864,7/7/2020
Willcox,AZ,2021,3105,7/7/2021
Willcox,AZ,2020,3213,7/7/2020
Willcox,AZ,2019,3533,7/7/2019
Willcox,AZ,2018,3524,7/7/2018
Willcox,AZ,2017,3505,7/7/2017
Willcox,AZ,2016,3509,7/7/2016
Willcox,AZ,2015,3570,7/7/2015
Willcox,AZ,2014,3612,7/7/2014
Willcox,AZ,2013,3653,7/7/2013
Willcox,AZ,2012,3712,7/7/2012
Willcox,AZ,2011,3768,7/7/2011
Willcox,AZ,2010,3762,7/7/2010
Willcox,AZ,2009,3822,7/7/2009
Willcox,AZ,2008,3799,7/7/2008
Willcox,AZ,2007,3788,7/7/2007
Willcox,AZ,2006,3807,7/7/2006
Willcox,AZ,2005,3765,7/7/2005
Willcox,AZ,2004,3753,7/7/2004
Willcox,AZ,2003,3734,7/7/2003
Willcox,AZ,2002,3730,7/7/2002
Willcox,AZ,2001,3718,7/7/2001
Willcox,AZ,2000,3741,7/7/2000
Williams,AZ,2021,3238,7/7/2021
Williams,AZ,2020,3202,7/7/2020
Williams,AZ,2019,3248,7/7/2019
Williams,AZ,2018,3228,7/7/2018
Williams,AZ,2017,3174,7/7/2017
Williams,AZ,2016,3159,7/7/2016
Williams,AZ,2015,3118,7/7/2015
Williams,AZ,2014,3105,7/7/2014
Williams,AZ,2013,3066,7/7/2013
Williams,AZ,2012,3027,7/7/2012
Williams,AZ,2011,3028,7/7/2011
Williams,AZ,2010,3045,7/7/2010
Williams,AZ,2009,3336,7/7/2009
Williams,AZ,2008,3295,7/7/2008
Williams,AZ,2007,3262,7/7/2007
Williams,AZ,2006,3221,7/7/2006
Williams,AZ,2005,3111,7/7/2005
Williams,AZ,2004,2978,7/7/2004
Williams,AZ,2003,2966,7/7/2003
Williams,AZ,2002,2919,7/7/2002
Williams,AZ,2001,2862,7/7/2001
Williams,AZ,2000,2847,7/7/2000
Williamson,AZ,2021,6348,7/7/2021
Williamson,AZ,2020,6196,7/7/2020
Willow Canyon,AZ,2021,2,7/7/2021
Willow Canyon,AZ,2020,2,7/7/2020
Willow Valley,AZ,2021,1059,7/7/2021
Willow Valley,AZ,2020,1059,7/7/2020
Window Rock,AZ,2021,2458,7/7/2021
Window Rock,AZ,2020,2500,7/7/2020
Winkelman,AZ,2021,284,7/7/2021
Winkelman,AZ,2020,296,7/7/2020
Winkelman,AZ,2019,351,7/7/2019
Winkelman,AZ,2018,351,7/7/2018
Winkelman,AZ,2017,347,7/7/2017
Winkelman,AZ,2016,347,7/7/2016
Winkelman,AZ,2015,346,7/7/2015
Winkelman,AZ,2014,348,7/7/2014
Winkelman,AZ,2013,348,7/7/2013
Winkelman,AZ,2012,349,7/7/2012
Winkelman,AZ,2011,353,7/7/2011
Winkelman,AZ,2010,355,7/7/2010
Winkelman,AZ,2009,428,7/7/2009
Winkelman,AZ,2008,432,7/7/2008
Winkelman,AZ,2007,436,7/7/2007
Winkelman,AZ,2006,436,7/7/2006
Winkelman,AZ,2005,436,7/7/2005
Winkelman,AZ,2004,436,7/7/2004
Winkelman,AZ,2003,433,7/7/2003
Winkelman,AZ,2002,436,7/7/2002
Winkelman,AZ,2001,437,7/7/2001
Winkelman,AZ,2000,442,7/7/2000
Winslow,AZ,2021,8875,7/7/2021
Winslow,AZ,2020,9005,7/7/2020
Winslow,AZ,2019,9338,7/7/2019
Winslow,AZ,2018,9411,7/7/2018
Winslow,AZ,2017,9418,7/7/2017
Winslow,AZ,2016,9602,7/7/2016
Winslow,AZ,2015,9537,7/7/2015
Winslow,AZ,2014,9563,7/7/2014
Winslow,AZ,2013,9448,7/7/2013
Winslow,AZ,2012,9403,7/7/2012
Winslow,AZ,2011,9638,7/7/2011
Winslow,AZ,2010,9708,7/7/2010
Winslow,AZ,2009,9833,7/7/2009
Winslow,AZ,2008,9811,7/7/2008
Winslow,AZ,2007,9824,7/7/2007
Winslow,AZ,2006,9693,7/7/2006
Winslow,AZ,2005,9834,7/7/2005
Winslow,AZ,2004,9720,7/7/2004
Winslow,AZ,2003,9733,7/7/2003
Winslow,AZ,2002,9712,7/7/2002
Winslow,AZ,2001,9543,7/7/2001
Winslow,AZ,2000,9549,7/7/2000
Winslow West,AZ,2021,461,7/7/2021
Winslow West,AZ,2020,457,7/7/2020
Wintersburg,AZ,2021,35,7/7/2021
Wintersburg,AZ,2020,51,7/7/2020
Wittmann,AZ,2021,668,7/7/2021
Wittmann,AZ,2020,684,7/7/2020
Woodruff,AZ,2021,146,7/7/2021
Woodruff,AZ,2020,154,7/7/2020
Yarnell,AZ,2021,554,7/7/2021
Yarnell,AZ,2020,570,7/7/2020
York,AZ,2021,607,7/7/2021
York,AZ,2020,599,7/7/2020
Young,AZ,2021,572,7/7/2021
Young,AZ,2020,588,7/7/2020
Youngtown,AZ,2021,7236,7/7/2021
Youngtown,AZ,2020,7056,7/7/2020
Youngtown,AZ,2019,6859,7/7/2019
Youngtown,AZ,2018,6824,7/7/2018
Youngtown,AZ,2017,6805,7/7/2017
Youngtown,AZ,2016,6774,7/7/2016
Youngtown,AZ,2015,6712,7/7/2015
Youngtown,AZ,2014,6631,7/7/2014
Youngtown,AZ,2013,6416,7/7/2013
Youngtown,AZ,2012,6338,7/7/2012
Youngtown,AZ,2011,6233,7/7/2011
Youngtown,AZ,2010,6158,7/7/2010
Youngtown,AZ,2009,4911,7/7/2009
Youngtown,AZ,2008,4901,7/7/2008
Youngtown,AZ,2007,4837,7/7/2007
Youngtown,AZ,2006,4729,7/7/2006
Youngtown,AZ,2005,4274,7/7/2005
Youngtown,AZ,2004,3541,7/7/2004
Youngtown,AZ,2003,3133,7/7/2003
Youngtown,AZ,2002,3098,7/7/2002
Youngtown,AZ,2001,3063,7/7/2001
Youngtown,AZ,2000,3020,7/7/2000
Yucca,AZ,2021,90,7/7/2021
Yucca,AZ,2020,96,7/7/2020
Yuma,AZ,2021,96044,7/7/2021
Yuma,AZ,2020,95548,7/7/2020
Yuma,AZ,2019,98285,7/7/2019
Yuma,AZ,2018,97648,7/7/2018
Yuma,AZ,2017,96399,7/7/2017
Yuma,AZ,2016,95259,7/7/2016
Yuma,AZ,2015,94155,7/7/2015
Yuma,AZ,2014,93624,7/7/2014
Yuma,AZ,2013,92998,7/7/2013
Yuma,AZ,2012,93701,7/7/2012
Yuma,AZ,2011,94241,7/7/2011
Yuma,AZ,2010,91328,7/7/2010
Yuma,AZ,2009,91105,7/7/2009
Yuma,AZ,2008,89842,7/7/2008
Yuma,AZ,2007,88664,7/7/2007
Yuma,AZ,2006,87180,7/7/2006
Yuma,AZ,2005,85352,7/7/2005
Yuma,AZ,2004,83315,7/7/2004
Yuma,AZ,2003,81944,7/7/2003
Yuma,AZ,2002,80975,7/7/2002
Yuma,AZ,2001,79699,7/7/2001
Yuma,AZ,2000,79090,7/7/2000
